Date,Time,Obs,Qflag,Tree,Age Class,SLA,Na,Pa,Press,PARi,Cond,Ci,Photo,Trmmol,VpdL,StmRat,BLCond,Tair,TBlk,Tleaf,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow
14/11/2001,8:02,3.5,1,4,0,4.58,2.776,0.226,87.42,149,0.228,277.1666667,9.166666667,0.961166667,0.391833333,1,2.84,13.905,14.10833333,13.58666667,359.6333333,348.2166667,12.24166667,13.381,67.12166667,73.36833333,499.4166667
14/11/2001,8:17,15.5,1,4,1,4.457,3.025,0.34,87.43666667,149,0.1945,278.1666667,7.963333333,0.845166667,0.399666667,1,2.84,14.43333333,14.61,14.15833333,360.0666667,350.1166667,12.9635,13.963,68.69833333,73.99666667,500.35
14/11/2001,8:35,33.5,1,3,1,4.731,3.273,0.446,87.45166667,150,0.3125,304.8333333,7.688333333,1.271666667,0.388333333,1,2.84,15.33833333,15.53,14.97166667,359.7833333,350.0833333,13.58883333,15.094,67.95166667,75.48,499.6333333
14/11/2001,9:35,ac1,1,3,0,5.169,2.429,0.194,87.485,1499.5,0.410166667,257.5,17.63333333,2.3,0.550666667,1,2.84,16.64666667,16.69333333,17.505,360.1333333,338.0333333,13.94216667,16.6565,64.15333333,76.64333333,500.2833333
14/11/2001,10:36,9.5,1,3,1,4.731,3.273,0.446,87.53,1501,0.325833333,218,20.25,4.413333333,1.28,1,2.84,24.68,24.91166667,24.59666667,359.5833333,333.55,15.61266667,20.79383333,43.805,58.34166667,500.2833333
14/11/2001,10:52,15.5,1,4,0,4.58,2.776,0.226,87.54166667,201,0.08805,263.3333333,4.546666667,0.917166667,0.918833333,1,2.84,21.43666667,21.83666667,20.67166667,359.2333333,353.3666667,16.37083333,17.4535,55.89833333,59.595,499.4833333
14/11/2001,11:05,27.5,1,4,1,4.457,3.025,0.34,87.55,199.6666667,0.189666667,300.5,5.416666667,1.543333333,0.744833333,1,2.84,18.89666667,19.19666667,18.365,360.5,353.3333333,13.87316667,15.69783333,55.43833333,62.72833333,499.4833333
14/11/2001,14:46,3.5,1,4,0,4.58,2.776,0.226,87.44333333,1500,0.061816667,128.5,8.141666667,0.905,1.28,1,2.84,20.65666667,20.73333333,21.935,359,348.8333333,14.54383333,15.6125,52.04833333,55.875,500.3333333
14/11/2001,14:52,9.5,1,4,1,4.457,3.025,0.34,87.445,1500.5,0.1325,199.6666667,11.21666667,1.691666667,1.14,1,2.84,20.73333333,20.895,21.34333333,360.4333333,346.3,14.10116667,16.09716667,50.22,57.32666667,500.35
14/11/2001,15:03,15.5,1,3,0,5.169,2.429,0.194,87.43,1500.666667,0.134666667,149.5,15.03333333,1.928333333,1.28,1,2.84,21.14333333,21.185,22.04833333,359.9,341.1333333,13.51233333,15.78683333,46.915,54.81333333,500.2166667
14/11/2001,15:16,33.5,1,3,1,4.731,3.273,0.446,87.4,149.6666667,0.129,247.8333333,7.393333333,1.891666667,1.31,1,2.84,22.42166667,22.64,21.76333333,360.25,350.6166667,12.67566667,14.91083333,40.69,47.86333333,500.4166667
14/11/2001,16:18,3.5,1,3,0,5.169,2.429,0.194,87.34166667,200,0.097066667,252.6666667,5.643333333,1.138333333,1.03,1,2.84,22.9,23.24833333,22.10166667,361.6166667,354.4,17.40066667,18.74316667,54.22666667,58.40833333,499.3333333
14/11/2001,16:33,15.5,1,4,1,4.457,3.025,0.34,87.34,201,0.036883333,275,1.793666667,0.415833333,0.974166667,1,2.84,21.41666667,21.68833333,21.03833333,361.9166667,359.5166667,17.00766667,17.497,58.01333333,59.68,500.6333333
14/11/2001,16:46,27.5,0,4,0,4.58,2.776,0.226,87.35,698.8333333,0.009886667,628.3333333,-1.715333333,0.136833333,1.19,1,2.84,21.55333333,21.71333333,21.97666667,359.1333333,361.1166667,16.586,16.74766667,56.10833333,56.655,500.4166667
15/11/2001,8:14,3.5,1,5,0,5.794,2.086,0.211,88.14,200,0.160666667,253.3333333,8.701666667,1.641666667,0.936333333,1,2.84,16.26833333,16.435,15.77666667,360.05,349.0833333,7.83,9.781166667,37.17833333,46.44666667,499.9833333
15/11/2001,8:25,15.5,1,5,1,4.578,2.673,0.365,88.14833333,199,0.158,259,8.155,1.64,0.951666667,1,2.84,16.52333333,16.695,16.045,361.3333333,351.0333333,8.006666667,9.9565,37.40666667,46.515,499.65
15/11/2001,8:36,27.5,1,5,0,4.466,2.83,0.244,88.16,200,0.179666667,278.8333333,7.171666667,1.786666667,0.918666667,1,2.84,16.54,16.73,16.005,360.8,351.55,8.16,10.284,38.09166667,48.00166667,500.3
